Date,Close,Abbv,Industry
26-10-2012,55.619999,BHC,Pharmaceuticals
31-10-2012,55.93,BHC,Pharmaceuticals
01-11-2012,56.759998,BHC,Pharmaceuticals
02-11-2012,56.369999,BHC,Pharmaceuticals
05-11-2012,55.290001,BHC,Pharmaceuticals
06-11-2012,54,BHC,Pharmaceuticals
07-11-2012,53.330002,BHC,Pharmaceuticals
08-11-2012,54.07,BHC,Pharmaceuticals
09-11-2012,53.959999,BHC,Pharmaceuticals
12-11-2012,54.98,BHC,Pharmaceuticals
13-11-2012,55.040001,BHC,Pharmaceuticals
14-11-2012,53.560001,BHC,Pharmaceuticals
15-11-2012,53.32,BHC,Pharmaceuticals
16-11-2012,55.029999,BHC,Pharmaceuticals
19-11-2012,55.290001,BHC,Pharmaceuticals
20-11-2012,55.119999,BHC,Pharmaceuticals
21-11-2012,55.02,BHC,Pharmaceuticals
23-11-2012,55.389999,BHC,Pharmaceuticals
26-11-2012,56.189999,BHC,Pharmaceuticals
27-11-2012,54.91,BHC,Pharmaceuticals
28-11-2012,55.049999,BHC,Pharmaceuticals
29-11-2012,55.400002,BHC,Pharmaceuticals
30-11-2012,55.279999,BHC,Pharmaceuticals
03-12-2012,55.369999,BHC,Pharmaceuticals
04-12-2012,56.900002,BHC,Pharmaceuticals
05-12-2012,57.709999,BHC,Pharmaceuticals
06-12-2012,57.709999,BHC,Pharmaceuticals
07-12-2012,57.790001,BHC,Pharmaceuticals
10-12-2012,58.16,BHC,Pharmaceuticals
11-12-2012,59.23,BHC,Pharmaceuticals
12-12-2012,59.259998,BHC,Pharmaceuticals
13-12-2012,58.080002,BHC,Pharmaceuticals
14-12-2012,59.029999,BHC,Pharmaceuticals
17-12-2012,59.459999,BHC,Pharmaceuticals
18-12-2012,59.91,BHC,Pharmaceuticals
19-12-2012,59.75,BHC,Pharmaceuticals
20-12-2012,61.029999,BHC,Pharmaceuticals
21-12-2012,60.84,BHC,Pharmaceuticals
24-12-2012,60.389999,BHC,Pharmaceuticals
26-12-2012,60.310001,BHC,Pharmaceuticals
27-12-2012,59.68,BHC,Pharmaceuticals
28-12-2012,58.869999,BHC,Pharmaceuticals
31-12-2012,59.77,BHC,Pharmaceuticals
02-01-2013,60.75,BHC,Pharmaceuticals
03-01-2013,61.07,BHC,Pharmaceuticals
04-01-2013,60.709999,BHC,Pharmaceuticals
07-01-2013,61.310001,BHC,Pharmaceuticals
08-01-2013,62.290001,BHC,Pharmaceuticals
09-01-2013,63.82,BHC,Pharmaceuticals
10-01-2013,63.91,BHC,Pharmaceuticals
11-01-2013,63.630001,BHC,Pharmaceuticals
14-01-2013,63.580002,BHC,Pharmaceuticals
15-01-2013,63.700001,BHC,Pharmaceuticals
16-01-2013,63.52,BHC,Pharmaceuticals
17-01-2013,63.779999,BHC,Pharmaceuticals
18-01-2013,63.77,BHC,Pharmaceuticals
22-01-2013,64.199997,BHC,Pharmaceuticals
23-01-2013,63.84,BHC,Pharmaceuticals
24-01-2013,64.550003,BHC,Pharmaceuticals
25-01-2013,65.639999,BHC,Pharmaceuticals
28-01-2013,65.550003,BHC,Pharmaceuticals
29-01-2013,65.849998,BHC,Pharmaceuticals
30-01-2013,66.169998,BHC,Pharmaceuticals
31-01-2013,66.32,BHC,Pharmaceuticals
01-02-2013,67.25,BHC,Pharmaceuticals
04-02-2013,66.410004,BHC,Pharmaceuticals
05-02-2013,66.639999,BHC,Pharmaceuticals
06-02-2013,66.910004,BHC,Pharmaceuticals
07-02-2013,67.239998,BHC,Pharmaceuticals
08-02-2013,67.800003,BHC,Pharmaceuticals
11-02-2013,67.559998,BHC,Pharmaceuticals
12-02-2013,67.43,BHC,Pharmaceuticals
13-02-2013,67.5,BHC,Pharmaceuticals
14-02-2013,66.389999,BHC,Pharmaceuticals
15-02-2013,66.529999,BHC,Pharmaceuticals
19-02-2013,67.019997,BHC,Pharmaceuticals
20-02-2013,66.239998,BHC,Pharmaceuticals
21-02-2013,65.690002,BHC,Pharmaceuticals
22-02-2013,65.739998,BHC,Pharmaceuticals
25-02-2013,65.459999,BHC,Pharmaceuticals
26-02-2013,65.160004,BHC,Pharmaceuticals
27-02-2013,66.739998,BHC,Pharmaceuticals
28-02-2013,67.459999,BHC,Pharmaceuticals
01-03-2013,67.629997,BHC,Pharmaceuticals
04-03-2013,69.410004,BHC,Pharmaceuticals
05-03-2013,69.790001,BHC,Pharmaceuticals
06-03-2013,68.519997,BHC,Pharmaceuticals
07-03-2013,69.839996,BHC,Pharmaceuticals
08-03-2013,70.779999,BHC,Pharmaceuticals
11-03-2013,70.529999,BHC,Pharmaceuticals
12-03-2013,70.599998,BHC,Pharmaceuticals
13-03-2013,69.93,BHC,Pharmaceuticals
14-03-2013,70.07,BHC,Pharmaceuticals
15-03-2013,69.860001,BHC,Pharmaceuticals
18-03-2013,70.540001,BHC,Pharmaceuticals
19-03-2013,71.440002,BHC,Pharmaceuticals
20-03-2013,73.330002,BHC,Pharmaceuticals
21-03-2013,72.860001,BHC,Pharmaceuticals
22-03-2013,73.970001,BHC,Pharmaceuticals
25-03-2013,73.949997,BHC,Pharmaceuticals
26-03-2013,74.400002,BHC,Pharmaceuticals
27-03-2013,74.120003,BHC,Pharmaceuticals
28-03-2013,75.019997,BHC,Pharmaceuticals
01-04-2013,76.050003,BHC,Pharmaceuticals
02-04-2013,75.370003,BHC,Pharmaceuticals
03-04-2013,71.870003,BHC,Pharmaceuticals
04-04-2013,72.610001,BHC,Pharmaceuticals
05-04-2013,71.790001,BHC,Pharmaceuticals
08-04-2013,72.120003,BHC,Pharmaceuticals
09-04-2013,72.120003,BHC,Pharmaceuticals
10-04-2013,73,BHC,Pharmaceuticals
11-04-2013,73.790001,BHC,Pharmaceuticals
12-04-2013,73.169998,BHC,Pharmaceuticals
15-04-2013,72.120003,BHC,Pharmaceuticals
16-04-2013,73.089996,BHC,Pharmaceuticals
17-04-2013,72.860001,BHC,Pharmaceuticals
18-04-2013,72.809998,BHC,Pharmaceuticals
19-04-2013,75.519997,BHC,Pharmaceuticals
22-04-2013,74.199997,BHC,Pharmaceuticals
23-04-2013,74.980003,BHC,Pharmaceuticals
24-04-2013,74.82,BHC,Pharmaceuticals
25-04-2013,73.589996,BHC,Pharmaceuticals
26-04-2013,73.160004,BHC,Pharmaceuticals
29-04-2013,75.940002,BHC,Pharmaceuticals
30-04-2013,76.080002,BHC,Pharmaceuticals
01-05-2013,73.690002,BHC,Pharmaceuticals
02-05-2013,72.150002,BHC,Pharmaceuticals
03-05-2013,73.68,BHC,Pharmaceuticals
06-05-2013,73.419998,BHC,Pharmaceuticals
07-05-2013,74.07,BHC,Pharmaceuticals
08-05-2013,73.860001,BHC,Pharmaceuticals
09-05-2013,72.739998,BHC,Pharmaceuticals
10-05-2013,73.519997,BHC,Pharmaceuticals
13-05-2013,75.889999,BHC,Pharmaceuticals
14-05-2013,77.300003,BHC,Pharmaceuticals
15-05-2013,76.330002,BHC,Pharmaceuticals
16-05-2013,75.75,BHC,Pharmaceuticals
17-05-2013,78.169998,BHC,Pharmaceuticals
20-05-2013,75.379997,BHC,Pharmaceuticals
21-05-2013,75.529999,BHC,Pharmaceuticals
22-05-2013,74.82,BHC,Pharmaceuticals
23-05-2013,74.669998,BHC,Pharmaceuticals
24-05-2013,84.470001,BHC,Pharmaceuticals
28-05-2013,91.800003,BHC,Pharmaceuticals
29-05-2013,90.809998,BHC,Pharmaceuticals
30-05-2013,91,BHC,Pharmaceuticals
31-05-2013,91.120003,BHC,Pharmaceuticals
03-06-2013,88.209999,BHC,Pharmaceuticals
04-06-2013,85.18,BHC,Pharmaceuticals
05-06-2013,84.160004,BHC,Pharmaceuticals
06-06-2013,84.870003,BHC,Pharmaceuticals
07-06-2013,85.589996,BHC,Pharmaceuticals
10-06-2013,85.110001,BHC,Pharmaceuticals
11-06-2013,83.769997,BHC,Pharmaceuticals
12-06-2013,83.360001,BHC,Pharmaceuticals
13-06-2013,85.809998,BHC,Pharmaceuticals
14-06-2013,84.199997,BHC,Pharmaceuticals
17-06-2013,84.82,BHC,Pharmaceuticals
18-06-2013,85.860001,BHC,Pharmaceuticals
19-06-2013,86.410004,BHC,Pharmaceuticals
20-06-2013,83.839996,BHC,Pharmaceuticals
21-06-2013,84.419998,BHC,Pharmaceuticals
24-06-2013,84,BHC,Pharmaceuticals
25-06-2013,85.239998,BHC,Pharmaceuticals
26-06-2013,84.949997,BHC,Pharmaceuticals
27-06-2013,86.150002,BHC,Pharmaceuticals
28-06-2013,86.080002,BHC,Pharmaceuticals
01-07-2013,88,BHC,Pharmaceuticals
02-07-2013,89.989998,BHC,Pharmaceuticals
03-07-2013,89.5,BHC,Pharmaceuticals
05-07-2013,88.769997,BHC,Pharmaceuticals
08-07-2013,90.029999,BHC,Pharmaceuticals
09-07-2013,89.959999,BHC,Pharmaceuticals
10-07-2013,90.199997,BHC,Pharmaceuticals
11-07-2013,92.470001,BHC,Pharmaceuticals
12-07-2013,92.900002,BHC,Pharmaceuticals
15-07-2013,93.800003,BHC,Pharmaceuticals
16-07-2013,91.529999,BHC,Pharmaceuticals
17-07-2013,91.449997,BHC,Pharmaceuticals
18-07-2013,91.389999,BHC,Pharmaceuticals
19-07-2013,90.800003,BHC,Pharmaceuticals
22-07-2013,90.809998,BHC,Pharmaceuticals
23-07-2013,90.489998,BHC,Pharmaceuticals
24-07-2013,91.330002,BHC,Pharmaceuticals
25-07-2013,91.989998,BHC,Pharmaceuticals
26-07-2013,91.959999,BHC,Pharmaceuticals
29-07-2013,91.699997,BHC,Pharmaceuticals
30-07-2013,91,BHC,Pharmaceuticals
31-07-2013,93.599998,BHC,Pharmaceuticals
01-08-2013,96.040001,BHC,Pharmaceuticals
02-08-2013,96.449997,BHC,Pharmaceuticals
05-08-2013,95.57,BHC,Pharmaceuticals
06-08-2013,95.720001,BHC,Pharmaceuticals
07-08-2013,97.589996,BHC,Pharmaceuticals
08-08-2013,101.68,BHC,Pharmaceuticals
09-08-2013,101.870003,BHC,Pharmaceuticals
12-08-2013,101.949997,BHC,Pharmaceuticals
13-08-2013,103.980003,BHC,Pharmaceuticals
14-08-2013,103.900002,BHC,Pharmaceuticals
15-08-2013,102.93,BHC,Pharmaceuticals
16-08-2013,103,BHC,Pharmaceuticals
19-08-2013,101.059998,BHC,Pharmaceuticals
20-08-2013,101.529999,BHC,Pharmaceuticals
21-08-2013,99.769997,BHC,Pharmaceuticals
22-08-2013,99.300003,BHC,Pharmaceuticals
23-08-2013,99.519997,BHC,Pharmaceuticals
26-08-2013,99.599998,BHC,Pharmaceuticals
27-08-2013,95.800003,BHC,Pharmaceuticals
28-08-2013,97.849998,BHC,Pharmaceuticals
29-08-2013,98.949997,BHC,Pharmaceuticals
30-08-2013,98.339996,BHC,Pharmaceuticals
03-09-2013,99.349998,BHC,Pharmaceuticals
04-09-2013,99.940002,BHC,Pharmaceuticals
05-09-2013,99.800003,BHC,Pharmaceuticals
06-09-2013,100.239998,BHC,Pharmaceuticals
09-09-2013,101.330002,BHC,Pharmaceuticals
10-09-2013,100.199997,BHC,Pharmaceuticals
11-09-2013,100.260002,BHC,Pharmaceuticals
